Year,Host,Match,Datetime,Stage,City,Home_Team,Home Team Goals,Away Team Goals,Total Goals,Away _Team,Attendance,Home Team Initials,Away Team Initials
1958,Sweden,10,11 Jun 1958 - 19:00 ,Group,Solna ,Mexico,1,1,2,Wales,15150,MEX,WAL
1958,Sweden,11,11 Jun 1958 - 19:00 ,Group,Norrk�Ping ,Paraguay,3,2,5,Scotland,11665,PAR,SCO
1958,Sweden,12,11 Jun 1958 - 19:00 ,Group,Vasteras ,Yugoslavia,3,2,5,France,12217,YUG,FRA
1958,Sweden,13,11 Jun 1958 - 19:00 ,Group,Boras ,Soviet Union,2,0,2,Austria,21239,URS,AUT
1958,Sweden,14,11 Jun 1958 - 19:00 ,Group,Helsingborg ,Germany FR,2,2,4,Czechoslovakia,25000,FRG,TCH
1958,Sweden,15,11 Jun 1958 - 19:00 ,Group,Halmstad ,Argentina,3,1,4,Northern Ireland,14174,ARG,NIR
1958,Sweden,16,12 Jun 1958 - 19:00 ,Group,Solna ,Sweden,2,1,3,Hungary,38850,SWE,HUN
1958,Sweden,17,15 Jun 1958 - 14:00 ,Group,Solna ,Sweden,0,0,0,Wales,30287,SWE,WAL
1958,Sweden,18,15 Jun 1958 - 19:00 ,Group,Gothenburg ,Brazil,2,0,2,Soviet Union,50928,BRA,URS
1958,Sweden,19,15 Jun 1958 - 19:00 ,Group,Malm� ,Germany FR,2,2,4,Northern Ireland,21990,FRG,NIR
1958,Sweden,20,15 Jun 1958 - 19:00 ,Group,Sandviken ,Hungary,4,0,4,Mexico,13300,HUN,MEX
1958,Sweden,21,15 Jun 1958 - 19:00 ,Group,Eskilstuna ,Paraguay,3,3,6,Yugoslavia,13103,PAR,YUG
1958,Sweden,22,15 Jun 1958 - 19:00 ,Group,Orebro ,France,2,1,3,Scotland,13554,FRA,SCO
1958,Sweden,23,15 Jun 1958 - 19:00 ,Group,Boras ,England,2,2,4,Austria,15872,ENG,AUT
1958,Sweden,24,15 Jun 1958 - 19:00 ,Group,Helsingborg ,Czechoslovakia,6,1,7,Argentina,16418,TCH,ARG
1958,Sweden,25,17 Jun 1958 - 19:00 ,Group,Gothenburg ,Soviet Union,1,0,1,England,23182,URS,ENG
1958,Sweden,26,17 Jun 1958 - 19:00 ,Group,Malm� ,Northern Ireland,2,1,3,Czechoslovakia,6196,NIR,TCH
1958,Sweden,27,17 Jun 1958 - 19:00 ,Group,Solna ,Wales,2,1,3,Hungary,2823,WAL,HUN
1958,Sweden,28,19 Jun 1958 - 19:00 ,Quarter-finals,Gothenburg ,Brazil,1,0,1,Wales,25923,BRA,WAL
1958,Sweden,29,19 Jun 1958 - 19:00 ,Quarter-finals,Malm� ,Germany FR,1,0,1,Yugoslavia,20055,FRG,YUG
1958,Sweden,30,19 Jun 1958 - 19:00 ,Quarter-finals,Solna ,Sweden,2,0,2,Soviet Union,31900,SWE,URS
1958,Sweden,31,19 Jun 1958 - 19:00 ,Quarter-finals,Norrk�Ping ,France,4,0,4,Northern Ireland,11800,FRA,NIR
1958,Sweden,32,24 Jun 1958 - 19:00 ,Semi-finals,Gothenburg ,Sweden,3,1,4,Germany FR,49471,SWE,FRG
1958,Sweden,33,24 Jun 1958 - 19:00 ,Semi-finals,Solna ,Brazil,5,2,7,France,27100,BRA,FRA
1958,Sweden,34,28 Jun 1958 - 17:00 ,Match for third place,Gothenburg ,France,6,3,9,Germany FR,32483,FRA,FRG
1958,Sweden,35,29 Jun 1958 - 15:00 ,Final,Solna ,Brazil,5,2,7,Sweden,49737,BRA,SWE
1962,Chile,1,30 May 1962 - 15:00 ,Group,Arica ,Uruguay,2,1,3,Colombia,7908,URU,COL
1962,Chile,2,30 May 1962 - 15:00 ,Group,Vina Del Mar ,Brazil,2,0,2,Mexico,10484,BRA,MEX
1962,Chile,3,30 May 1962 - 15:00 ,Group,Rancagua ,Argentina,1,0,1,Bulgaria,7134,ARG,BUL
1962,Chile,4,30 May 1962 - 15:00 ,Group,Santiago De Chile ,Chile,3,1,4,Switzerland,65006,CHI,SUI
1962,Chile,5,31 May 1962 - 15:00 ,Group,Arica ,Soviet Union,2,0,2,Yugoslavia,9622,URS,YUG
1962,Chile,6,31 May 1962 - 15:00 ,Group,Vina Del Mar ,Czechoslovakia,1,0,1,Spain,12700,TCH,ESP
