Year,Datetime,Stage,City,Home Team Name,Home Team Goals,Away Team Name,Away Team Goals
1966,13 Jul 1966 - 19:30 ,Group 1,London ,France,1,Mexico,1
1966,13 Jul 1966 - 19:30 ,Group 3,Manchester ,Portugal,3,Hungary,1
1966,13 Jul 1966 - 19:30 ,Group 2,Birmingham ,Argentina,2,Spain,1
1966,13 Jul 1966 - 19:30 ,Group 4,Sunderland ,Italy,2,Chile,0
1966,15 Jul 1966 - 19:30 ,Group 1,London ,Uruguay,2,France,1
1966,15 Jul 1966 - 19:30 ,Group 2,Sheffield ,Spain,2,Switzerland,1
1966,15 Jul 1966 - 19:30 ,Group 3,Liverpool ,Hungary,3,Brazil,1
1966,15 Jul 1966 - 19:30 ,Group 4,Middlesbrough ,Korea DPR,1,Chile,1
1966,16 Jul 1966 - 15:00 ,Group 3,Manchester ,Portugal,3,Bulgaria,0
1966,16 Jul 1966 - 15:00 ,Group 2,Birmingham ,Germany FR,0,Argentina,0
1966,16 Jul 1966 - 15:00 ,Group 4,Sunderland ,Soviet Union,1,Italy,0
1966,16 Jul 1966 - 19:30 ,Group 1,London ,England,2,Mexico,0
1966,19 Jul 1966 - 16:30 ,Group 1,London ,Uruguay,0,Mexico,0
1966,19 Jul 1966 - 19:30 ,Group 2,Sheffield ,Argentina,2,Switzerland,0
1966,19 Jul 1966 - 19:30 ,Group 3,Liverpool ,Portugal,3,Brazil,1
1966,19 Jul 1966 - 19:30 ,Group 4,Middlesbrough ,Korea DPR,1,Italy,0
1966,20 Jul 1966 - 19:30 ,Group 1,London ,England,2,France,0
1966,20 Jul 1966 - 19:30 ,Group 3,Manchester ,Hungary,3,Bulgaria,1
1966,20 Jul 1966 - 19:30 ,Group 2,Birmingham ,Germany FR,2,Spain,1
1966,20 Jul 1966 - 19:30 ,Group 4,Sunderland ,Soviet Union,2,Chile,1
1966,23 Jul 1966 - 15:00 ,Quarter-finals,London ,England,1,Argentina,0
1966,23 Jul 1966 - 15:00 ,Quarter-finals,Sheffield ,Germany FR,4,Uruguay,0
1966,23 Jul 1966 - 15:00 ,Quarter-finals,Sunderland ,Soviet Union,2,Hungary,1
1966,23 Jul 1966 - 15:00 ,Quarter-finals,Liverpool ,Portugal,5,Korea DPR,3
1966,25 Jul 1966 - 19:30 ,Semi-finals,Liverpool ,Germany FR,2,Soviet Union,1
1966,26 Jul 1966 - 19:30 ,Semi-finals,London ,England,2,Portugal,1
1966,28 Jul 1966 - 19:30 ,Match for third place,London ,Portugal,2,Soviet Union,1
1966,30 Jul 1966 - 15:00 ,Final,London ,England,4,Germany FR,2
1970,31 May 1970 - 12:00 ,Group 1,Mexico City ,Mexico,0,Soviet Union,0
1970,02 Jun 1970 - 16:00 ,Group 2,Puebla ,Uruguay,2,Israel,0
1970,02 Jun 1970 - 16:00 ,Group 4,Leon ,Peru,3,Bulgaria,2
1970,02 Jun 1970 - 16:00 ,Group 3,Guadalajara ,England,1,Romania,0
1970,03 Jun 1970 - 16:00 ,Group 2,Toluca ,Italy,1,Sweden,0
1970,03 Jun 1970 - 16:00 ,Group 4,Leon ,Germany FR,2,Morocco,1
1970,03 Jun 1970 - 16:00 ,Group 3,Guadalajara ,Brazil,4,Czechoslovakia,1
1970,03 Jun 1970 - 16:00 ,Group 1,Mexico City ,Belgium,3,El Salvador,0
1970,06 Jun 1970 - 16:00 ,Group 2,Puebla ,Uruguay,0,Italy,0
1970,06 Jun 1970 - 16:00 ,Group 4,Leon ,Peru,3,Morocco,0
